"distrito","species","reino","nombre_cientifico","clase","orden","familia","genero","n_registros","fuentes","plataformas","primer_anio","ultimo_anio","n_distritos_total","es_exclusiva","iucn_match_name","iucn_categoria_raw","iucn_id","iucn_categoria","es_amenazada_iucn"
"Limatambo","Epilobium denticulatum","Flora","Epilobium denticulatum Ruiz & Pav.","Magnoliopsida","Myrtales","Onagraceae","Epilobium",1,"GBIF","Otros conjuntos mediados por GBIF",1982,1982,2,FALSE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Epinecrophylla ornata","Fauna","Epinecrophylla ornata (P.L.Sclater, 1853)","Aves","Passeriformes","Thamnophilidae","Epinecrophylla",1,"GBIF","eBird",2022,2022,1,TRUE,"Epinecrophylla ornata","Least Concern","103657276","Preocupación Menor (LC)",FALSE
"Limatambo","Equisetum bogotense","Flora","Equisetum bogotense Kunth","Polypodiopsida","Equisetales","Equisetaceae","Equisetum",1,"GBIF","Otros conjuntos mediados por GBIF",1982,1982,3,FALSE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Eragrostis cilianensis","Flora","Eragrostis cilianensis (All.) Vignolo ex Janch.","Liliopsida","Poales","Poaceae","Eragrostis",1,"GBIF","Otros conjuntos mediados por GBIF",2003,2003,1,TRUE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Eriotheca ruizii","Flora","Eriotheca ruizii (K.Schum.) A.Robyns","Magnoliopsida","Malvales","Malvaceae","Eriotheca",1,"GBIF","Otros conjuntos mediados por GBIF",1984,1984,1,TRUE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Erythrina edulis","Flora","Erythrina edulis Triana ex Micheli","Magnoliopsida","Fabales","Fabaceae","Erythrina",1,"GBIF","Otros conjuntos mediados por GBIF",1984,1984,1,TRUE,"Erythrina edulis","Least Concern","144283929","Preocupación Menor (LC)",FALSE
"Limatambo","Eucnide cordata","Flora","Mentzelia cordata Kellogg","Magnoliopsida","Cornales","Loasaceae","Eucnide",1,"GBIF","Otros conjuntos mediados por GBIF",2006,2006,1,TRUE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Euphorbia hypericifolia","Flora","Euphorbia hypericifolia L.","Magnoliopsida","Malpighiales","Euphorbiaceae","Euphorbia",1,"GBIF","Otros conjuntos mediados por GBIF",1984,1984,1,TRUE,"Euphorbia hypericifolia","Least Concern","218730882","Preocupación Menor (LC)",FALSE
"Limatambo","Euphorbia pulcherrima","Flora","Euphorbia pulcherrima","Magnoliopsida","Malpighiales","Euphorbiaceae","Euphorbia",1,"iNaturalist","iNaturalist",2026,2026,1,TRUE,"Euphorbia pulcherrima","Least Concern","150008228","Preocupación Menor (LC)",FALSE
"Limatambo","Ficus carica","Flora","Ficus carica L.","Magnoliopsida","Rosales","Moraceae","Ficus",1,"GBIF","Otros conjuntos mediados por GBIF",2020,2020,1,TRUE,"Ficus carica","Least Concern","63527","Preocupación Menor (LC)",FALSE
"Limatambo","Fuchsia boliviana","Flora","Fuchsia boliviana","Magnoliopsida","Myrtales","Onagraceae","Fuchsia",1,"iNaturalist","iNaturalist",2025,2025,2,FALSE,"Fuchsia boliviana","Least Concern","103127813","Preocupación Menor (LC)",FALSE
"Limatambo","Genista monspessulana","Flora","Genista monspessulana","Magnoliopsida","Fabales","Fabaceae","Genista",1,"iNaturalist","iNaturalist",2019,2019,3,FALSE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Gentiana sedifolia","Flora","Gentiana sedifolia","Magnoliopsida","Gentianales","Gentianaceae","Gentiana",1,"iNaturalist","iNaturalist",2019,2019,5,FALSE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Geoffroea decorticans","Flora","Geoffroea decorticans (Gillies ex Hook. & Arn.) Burkart","Magnoliopsida","Fabales","Fabaceae","Geoffroea",1,"GBIF","Otros conjuntos mediados por GBIF",2004,2004,2,FALSE,"Geoffroea decorticans","Vulnerable","38217","Vulnerable (VU)",TRUE
"Limatambo","Harpyhaliaetus solitarius","Fauna","Buteogallus solitarius (Tschudi, 1844)","Aves","Accipitriformes","Accipitridae","Harpyhaliaetus",1,"GBIF","eBird",2022,2022,2,FALSE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Hedone vibex","Fauna","Hedone vibex","Insecta","Lepidoptera","Hesperiidae","Polites",1,"iNaturalist","iNaturalist",2021,2021,1,TRUE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Heliangelus amethysticollis","Fauna","Heliangelus amethysticollis (d'Orbigny & Lafresnaye, 1838)","Aves","Apodiformes","Trochilidae","Heliangelus",1,"GBIF","eBird",2018,2018,2,FALSE,"Heliangelus amethysticollis","Least Concern","60859997","Preocupación Menor (LC)",FALSE
"Limatambo","Henicorhina leucophrys","Fauna","Henicorhina leucophrys (Tschudi, 1844)","Aves","Passeriformes","Troglodytidae","Henicorhina",1,"GBIF","eBird",2009,2009,2,FALSE,"Henicorhina leucophrys","Least Concern","103889800","Preocupación Menor (LC)",FALSE
"Limatambo","Hesperoxiphion peruvianum","Flora","Hesperoxiphion peruvianum","Liliopsida","Asparagales","Iridaceae","Hesperoxiphion",1,"iNaturalist","iNaturalist",2022,2022,3,FALSE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Hippodamia convergens","Fauna","Hippodamia convergens","Insecta","Coleoptera","Coccinellidae","Hippodamia",1,"iNaturalist","iNaturalist",2020,2020,1,TRUE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Hirundo rustica","Fauna","Hirundo rustica Linnaeus, 1758","Aves","Passeriformes","Hirundinidae","Hirundo",1,"GBIF","eBird",2022,2022,4,FALSE,"Hirundo rustica","Least Concern","22712252","Preocupación Menor (LC)",FALSE
"Limatambo","Hylephila phyleus","Fauna","Hylephila phyleus","Insecta","Lepidoptera","Hesperiidae","Hylephila",1,"iNaturalist","iNaturalist",2023,2023,1,TRUE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Hyles lineata","Fauna","Hyles lineata","Insecta","Lepidoptera","Sphingidae","Hyles",1,"iNaturalist","iNaturalist",2022,2022,1,TRUE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Icterus icterus","Fauna","Icterus croconotus (Wagler, 1829)","Aves","Passeriformes","Icteridae","Icterus",1,"GBIF","eBird",2024,2024,1,TRUE,"Icterus icterus","Least Concern","22735310","Preocupación Menor (LC)",FALSE
"Limatambo","Inga feuillei","Flora","Inga feuillei DC.","Magnoliopsida","Fabales","Fabaceae","Inga",1,"GBIF","Otros conjuntos mediados por GBIF",1984,1984,1,TRUE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Ipomoea cairica","Flora","Ipomoea cairica","Magnoliopsida","Solanales","Convolvulaceae","Ipomoea",1,"iNaturalist","iNaturalist",2022,2022,1,TRUE,"Ipomoea cairica","Least Concern","19237651","Preocupación Menor (LC)",FALSE
"Limatambo","Iris florentina","Flora","Iris albicans","Liliopsida","Asparagales","Iridaceae","Iris",1,"iNaturalist","iNaturalist",2026,2026,1,TRUE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Ismene narcissiflora","Flora","Hymenocallis narcissiflora (Jacq.) J.F.Macbr.","Liliopsida","Asparagales","Amaryllidaceae","Ismene",1,"GBIF","Otros conjuntos mediados por GBIF",1984,1984,1,TRUE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Jacaranda acutifolia","Flora","Jacaranda acutifolia","Magnoliopsida","Lamiales","Bignoniaceae","Jacaranda",1,"iNaturalist","iNaturalist",2019,2019,1,TRUE,"Jacaranda acutifolia","Least Concern","61985524","Preocupación Menor (LC)",FALSE
"Limatambo","Junonia vestina","Fauna","Junonia vestina","Insecta","Lepidoptera","Nymphalidae","Junonia",1,"iNaturalist","iNaturalist",2022,2022,3,FALSE,"---","---",NA,"No Evaluada (NE)",FALSE
