scntfcN,taxnRnk,kingdom,order,family,genus,species
"Geospizopsis unicolor geospizopsis (Bonaparte, 1853)",SUBSPECIES,Animalia,Passeriformes,Thraupidae,Geospizopsis,Geospizopsis unicolor
"Momotus aequatorialis Gould, 1858",SPECIES,Animalia,Coraciiformes,Momotidae,Momotus,Momotus aequatorialis
"Pharomachrus auriceps (Gould, 1842)",SPECIES,Animalia,Trogoniformes,Trogonidae,Pharomachrus,Pharomachrus auriceps
"Psittacara frontatus (Cabanis, 1846)",SPECIES,Animalia,Psittaciformes,Psittacidae,Aratinga,Aratinga wagleri
"Euphonia minuta Cabanis, 1849",SPECIES,Animalia,Passeriformes,Fringillidae,Euphonia,Euphonia minuta
"Psarocolius decumanus (Pallas, 1769)",SPECIES,Animalia,Passeriformes,Icteridae,Psarocolius,Psarocolius decumanus
"Vanessa altissima (Rosenberg & Talbot, 1914)",SPECIES,Animalia,Lepidoptera,Nymphalidae,Vanessa,Vanessa altissima
"Pheucticus aureoventris terminalis Chapman, 1919",SUBSPECIES,Animalia,Passeriformes,Cardinalidae,Pheucticus,Pheucticus aureoventris
"Sarcoramphus papa (Linnaeus, 1758)",SPECIES,Animalia,Accipitriformes,Cathartidae,Sarcoramphus,Sarcoramphus papa
Drymoea alcera,SPECIES,Animalia,Lepidoptera,Geometridae,Drymoea,Drymoea alcera
"Danaus candidus Clark, 1941",SPECIES,Animalia,Lepidoptera,Nymphalidae,Danaus,Danaus gilippus
"Lasiophila orbifera Butler, 1868",SPECIES,Animalia,Lepidoptera,Nymphalidae,Lasiophila,Lasiophila orbifera
"Heliconius microclea Kaye, 1907",SPECIES,Animalia,Lepidoptera,Nymphalidae,Heliconius,Heliconius microclea
"Saltator coerulescens Vieillot, 1817",SPECIES,Animalia,Passeriformes,Thraupidae,Saltator,Saltator coerulescens
"Pyrrhura roseifrons (G.R.Gray, 1859)",SPECIES,Animalia,Psittaciformes,Psittacidae,Pyrrhura,Pyrrhura picta
"Tyrannus tyrannus (Linnaeus, 1758)",SPECIES,Animalia,Passeriformes,Tyrannidae,Tyrannus,Tyrannus tyrannus
"Bostryx cuspidatus (Morelet, 1863)",SPECIES,Animalia,Stylommatophora,Bulimulidae,Bostryx,Bostryx cuspidatus
"Boetia curiosa Dodge, 1965",SPECIES,Animalia,Diptera,Sarcophagidae,Microcerella,Microcerella curiosa
"Apiomerus obesus Lima, Seabra & Hathaway, 1951",SPECIES,Animalia,Hemiptera,Reduviidae,Apiomerus,Apiomerus luctuosus
"Bulinus laurentii G.B.Sowerby I, 1833",SPECIES,Animalia,Stylommatophora,Bulimulidae,Bostryx,Bostryx laurentii
"Megastraea undosa (W.Wood, 1828)",SPECIES,Animalia,Trochida,Turbinidae,Megastraea,Megastraea undosa
