scntfcN,taxnRnk,kingdom,order,family,genus,species
"Nycticorax nycticorax (Linnaeus, 1758)",SPECIES,Animalia,Pelecaniformes,Ardeidae,Nycticorax,Nycticorax nycticorax
"Asio flammeus (Pontoppidan, 1763)",SPECIES,Animalia,Strigiformes,Strigidae,Asio,Asio flammeus
"Ampelion rubrocristatus (Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Passeriformes,Cotingidae,Ampelion,Ampelion rubrocristatus
"Muscisaxicola juninensis Taczanowski, 1884",SPECIES,Animalia,Passeriformes,Tyrannidae,Muscisaxicola,Muscisaxicola juninensis
"Nothoprocta taczanowskii P.L.Sclater & Salvin, 1875",SPECIES,Animalia,Tinamiformes,Tinamidae,Nothoprocta,Nothoprocta taczanowskii
"Metriopelia melanoptera (Molina, 1782)",SPECIES,Animalia,Columbiformes,Columbidae,Metriopelia,Metriopelia melanoptera
"Phacellodomus striaticeps (Orbigny & Lafresnaye, 1838)",SPECIES,Animalia,Passeriformes,Furnariidae,Phacellodomus,Phacellodomus striaticeps
"Muscisaxicola griseus Taczanowski, 1884",SPECIES,Animalia,Passeriformes,Tyrannidae,Muscisaxicola,Muscisaxicola griseus
"Rollandia rolland (Quoy & Gaimard, 1824)",SPECIES,Animalia,Podicipediformes,Podicipedidae,Rollandia,Rollandia rolland
"Spatula puna (Tschudi, 1844)",SPECIES,Animalia,Anseriformes,Anatidae,Spatula,Spatula puna
"Tringa solitaria A.Wilson, 1813",SPECIES,Animalia,Charadriiformes,Scolopacidae,Tringa,Tringa solitaria
"Crypturellus cinereus (J.F.Gmelin, 1789)",SPECIES,Animalia,Tinamiformes,Tinamidae,Crypturellus,Crypturellus cinereus
"Tinamus osgoodi Conover, 1949",SPECIES,Animalia,Tinamiformes,Tinamidae,Tinamus,Tinamus osgoodi
"Systellura longirostris (Bonaparte, 1825)",SPECIES,Animalia,Caprimulgiformes,Caprimulgidae,Systellura,Systellura longirostris
"Geospizopsis plebejus (Tschudi, 1844)",SPECIES,Animalia,Passeriformes,Thraupidae,Geospizopsis,Geospizopsis plebejus
"Ochthoeca fumicolor P.L.Sclater, 1856",SPECIES,Animalia,Passeriformes,Tyrannidae,Ochthoeca,Ochthoeca fumicolor
"Cathartes aura (Linnaeus, 1758)",SPECIES,Animalia,Accipitriformes,Cathartidae,Cathartes,Cathartes aura
"Ochthoeca oenanthoides (Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Passeriformes,Tyrannidae,Ochthoeca,Ochthoeca oenanthoides
"Anairetes alpinus (Carriker, 1933)",SPECIES,Animalia,Passeriformes,Tyrannidae,Anairetes,Anairetes alpinus
"Vultur gryphus Linnaeus, 1758",SPECIES,Animalia,Accipitriformes,Cathartidae,Vultur,Vultur gryphus
"Asthenes humilis (Cabanis, 1873)",SPECIES,Animalia,Passeriformes,Furnariidae,Asthenes,Asthenes humilis
"Asthenes virgata (P.L.Sclater, 1874)",SPECIES,Animalia,Passeriformes,Furnariidae,Asthenes,Asthenes virgata
"Chalcostigma olivaceum (Lawrence, 1864)",SPECIES,Animalia,Apodiformes,Trochilidae,Chalcostigma,Chalcostigma olivaceum
"Spinus atratus (d'Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Passeriformes,Fringillidae,Spinus,Spinus atratus
"Muscisaxicola cinereus Philippi & Landbeck, 1864",SPECIES,Animalia,Passeriformes,Tyrannidae,Muscisaxicola,Muscisaxicola cinereus
"Dubusia castaneoventris (P.L.Sclater, 1851)",SPECIES,Animalia,Passeriformes,Thraupidae,Dubusia,Dubusia castaneoventris
"Spinus crassirostris (Landbeck, 1877)",SPECIES,Animalia,Passeriformes,Fringillidae,Spinus,Spinus crassirostris
"Sicalis olivascens (d'Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Passeriformes,Thraupidae,Sicalis,Sicalis olivascens
"Mesonychium garleppi (Schrottky, 1910)",SPECIES,Animalia,Hymenoptera,Apidae,Mesonychium,Mesonychium garleppi
"Eristalis bogotensis Macquart, 1842",SPECIES,Animalia,Diptera,Syrphidae,Eristalis,Eristalis bogotensis
"Streptoprocne zonaris (Shaw, 1796)",SPECIES,Animalia,Apodiformes,Apodidae,Streptoprocne,Streptoprocne zonaris
"Cnemarchus rufipennis (Taczanowski, 1874)",SPECIES,Animalia,Passeriformes,Tyrannidae,Polioxolmis,Polioxolmis rufipennis
"Buteo albigula Philippi, 1899",SPECIES,Animalia,Accipitriformes,Accipitridae,Buteo,Buteo albigula
"Coragyps atratus (Bechstein, 1793)",SPECIES,Animalia,Accipitriformes,Cathartidae,Coragyps,Coragyps atratus
"Argiope argentata (Fabricius, 1775)",SPECIES,Animalia,Araneae,Araneidae,Argiope,Argiope argentata
"Dryobates nigriceps (d'Orbigny, 1841)",SPECIES,Animalia,Piciformes,Picidae,Veniliornis,Veniliornis nigriceps
"Catharus ustulatus (Nuttall, 1840)",SPECIES,Animalia,Passeriformes,Turdidae,Catharus,Catharus ustulatus
"Anas georgica J.F.Gmelin, 1789",SPECIES,Animalia,Anseriformes,Anatidae,Anas,Anas georgica
"Fulica ardesiaca Tschudi, 1843",SPECIES,Animalia,Gruiformes,Rallidae,Fulica,Fulica ardesiaca
"Tringa melanoleuca (J.F.Gmelin, 1789)",SPECIES,Animalia,Charadriiformes,Scolopacidae,Tringa,Tringa melanoleuca
"Spatula cyanoptera (Vieillot, 1816)",SPECIES,Animalia,Anseriformes,Anatidae,Spatula,Spatula cyanoptera
"Agelasticus thilius (Molina, 1782)",SPECIES,Animalia,Passeriformes,Icteridae,Agelasticus,Agelasticus thilius
"Tringa flavipes (J.F.Gmelin, 1789)",SPECIES,Animalia,Charadriiformes,Scolopacidae,Tringa,Tringa flavipes
"Egretta thula (Molina, 1782)",SPECIES,Animalia,Pelecaniformes,Ardeidae,Egretta,Egretta thula
"Empidonax alnorum Brewster, 1895",SPECIES,Animalia,Passeriformes,Tyrannidae,Empidonax,Empidonax alnorum
"Athene cunicularia (Molina, 1782)",SPECIES,Animalia,Strigiformes,Strigidae,Athene,Athene cunicularia
"Apis mellifera Linnaeus, 1758",SPECIES,Animalia,Hymenoptera,Apidae,Apis,Apis mellifera
"Ara ararauna (Linnaeus, 1758)",SPECIES,Animalia,Psittaciformes,Psittacidae,Ara,Ara ararauna
Itylos koa,SPECIES,Animalia,Lepidoptera,Lycaenidae,Itylos,Itylos koa
"Leptotes callanga (Dyar, 1913)",SPECIES,Animalia,Lepidoptera,Lycaenidae,Leptotes,Leptotes callanga
"Cinclus leucocephalus Tschudi, 1844",SPECIES,Animalia,Passeriformes,Cinclidae,Cinclus,Cinclus leucocephalus
"Merganetta armata Gould, 1842",SPECIES,Animalia,Anseriformes,Anatidae,Merganetta,Merganetta armata
"Linothele uniformis Drolshagen & Bäckstam, 2021",SPECIES,Animalia,Araneae,Dipluridae,Linothele,Linothele uniformis
"Elaenia pallatangae P.L.Sclater, 1862",SPECIES,Animalia,Passeriformes,Tyrannidae,Elaenia,Elaenia pallatangae
"Asthenes modesta (Eyton, 1851)",SPECIES,Animalia,Passeriformes,Furnariidae,Asthenes,Asthenes modesta
"Oressochen melanopterus (Eyton, 1838)",SPECIES,Animalia,Anseriformes,Anatidae,Chloephaga,Chloephaga melanoptera
Junonia vestina,SPECIES,Animalia,Lepidoptera,Nymphalidae,Junonia,Junonia vestina
"Rothschildia arethusa Walker, 1855",SPECIES,Animalia,Lepidoptera,Saturniidae,Rothschildia,Rothschildia arethusa
"Serpophaga cinerea (Tschudi, 1844)",SPECIES,Animalia,Passeriformes,Tyrannidae,Serpophaga,Serpophaga cinerea
"Asthenes maculicauda (Berlepsch, 1901)",SPECIES,Animalia,Passeriformes,Furnariidae,Asthenes,Asthenes maculicauda
"Streptoprocne rutila (Vieillot, 1817)",SPECIES,Animalia,Apodiformes,Apodidae,Streptoprocne,Streptoprocne rutila
"Elliotomyia chionogaster (Tschudi, 1846)",SPECIES,Animalia,Apodiformes,Trochilidae,Elliotomyia,Elliotomyia chionogaster
