"nombre_enviado","reino_enviado","usage_key","accepted_usage_key","scientific_name","canonical_name","rank","status","confidence","match_type","kingdom","phylum","class","order","family","genus","species","consulta_utc"
"Verbena litoralis","Plantae","2925494",NA,"Verbena litoralis Kunth","Verbena litoralis","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","Verbena","Verbena litoralis","2026-08-29 23:33:29 UTC"
"Veronica peregrina","Plantae","3172104",NA,"Veronica peregrina L.","Veronica peregrina","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Veronica","Veronica peregrina","2026-08-29 23:33:29 UTC"
"Veronica persica","Plantae","3172077",NA,"Veronica persica Poir.","Veronica persica","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Veronica","Veronica persica","2026-08-29 23:33:29 UTC"
"Veronica serpyllifolia","Plantae","3172057",NA,"Veronica serpyllifolia L.","Veronica serpyllifolia","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Veronica","Veronica serpyllifolia","2026-08-29 23:33:29 UTC"
"Vicia faba","Plantae","2974832",NA,"Vicia faba L.","Vicia faba","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Vicia","Vicia faba","2026-08-29 23:33:29 UTC"
"Vinca major","Plantae","3169708",NA,"Vinca major L.","Vinca major","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Vinca","Vinca major","2026-08-29 23:33:29 UTC"
"Viola pusillima","Plantae","5664187",NA,"Viola pusillima Wedd.","Viola pusillima","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Violaceae","Viola","Viola pusillima","2026-08-29 23:33:29 UTC"
"Viola pygmaea","Plantae","5664172",NA,"Viola pygmaea Juss. ex Poir.","Viola pygmaea","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Violaceae","Viola","Viola pygmaea","2026-08-29 23:33:29 UTC"
"Weberbauerocereus cuzcoensis","Plantae","7281538",NA,"Weberbauerocereus cuzcoensis Kn<U+00ED>ze","Weberbauerocereus cuzcoensis","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Weberbauerocereus","Weberbauerocereus cuzcoensis","2026-08-29 23:33:29 UTC"
"Werneria ciliolata","Plantae","5402732",NA,"Werneria ciliolata A.Gray","Werneria ciliolata","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Werneria","Werneria ciliolata","2026-08-29 23:33:29 UTC"
"Werneria dactylophylla","Plantae","6064275",NA,"Werneria dactylophylla Sch.Bip.","Werneria dactylophylla","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Werneria","Werneria dactylophylla","2026-08-29 23:33:29 UTC"
"Zephyranthes andina","Plantae","2859968",NA,"Zephyranthes andina (R.E.Fr.) Traub","Zephyranthes andina","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","Zephyranthes","Zephyranthes andina","2026-08-29 23:33:29 UTC"
"Zinnia peruviana","Plantae","9193953",NA,"Zinnia peruviana (L.) L.","Zinnia peruviana","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Zinnia","Zinnia peruviana","2026-08-29 23:33:29 UTC"
